Justiça#Tribunal#UF#Tipo de unidade#Classificação da unidade#Código#Unidade Judiciária#Município sede#Telefone#CEP#Endereço#Unidades Judiciárias#Estoque#Taxa de congestionamento líquida#Taxa de congestionamento total
Total###########1.124#1.519.657#58,9%#62,6%
Justiça Estadual#Total##########1.103#1.475.089#58,7%#62,2%
Justiça Estadual#TJAM#AM#UNIDADES JUDICIÁRIAS DE PRIMEIRO GRAU#V - VARA;#4836#VARA DE EXECUÇÕES DE MEDIDAS E PENAS ALTERNATIVAS#MANAUS#(092) 3303-5259#69.079-265#AVENIDA HUMBERTO CALDERARO, SN, 5º ANDAR SETOR 4 FORUM MINISTRO HENOCH REIS SÃ£O FRANCISCO#1#1.979#31,0%#33,6%
Justiça Estadual#TJAM#AM#UNIDADES JUDICIÁRIAS DE PRIMEIRO GRAU#V - VARA;#4805#5ª VARA CRIMINAL DA CAPITAL#MANAUS#(092) 3303-5162#69.079-265#AVENIDA HUMBERTO CALDERARO, SN, 5º ANDAR SETOR 1 FORUM MINISTRO HENOCH REIS SÃ£O FRANCISCO#1#1.455#68,0%#77,3%
Justiça Estadual#TJAM#AM#UNIDADES JUDICIÁRIAS DE PRIMEIRO GRAU#V - VARA;#4801#2ª VARA CRIMINAL DA CAPITAL#MANAUS#(092) 3303-5133#69.079-265#AVENIDA HUMBERTO CALDERARO, SN, 5º ANDAR SETOR 1 FORUM MINISTRO HENOCH REIS SÃ£O FRANCISCO#1#2.263#74,0%#83,2%
Justiça Estadual#TJAM#AM#UNIDADES JUDICIÁRIAS DE PRIMEIRO GRAU#V - VARA;#4803#VARA DE EXECUÇÃO PENAL DA CAPITAL#MANAUS#(092) 3303-5189#69.079-265#AVENIDA HUMBERTO CALDERARO, SN, 5º ANDAR SETOR 1 FORUM MINISTRO HENOCH REIS SÃ£O FRANCISCO#1#7.027#0,0%#67,1%
Justiça Estadual#TJAM#AM#UNIDADES JUDICIÁRIAS DE PRIMEIRO GRAU#V - VARA;#4800#1ª VARA CRIMINAL DA CAPITAL#MANAUS#(092) 3303-5128#69.079-265#AVENIDA HUMBERTO CALDERARO, SN, 2º ANDAR SETOR 1 FORUM MINISTRO HENOCH REIS SÃ£O FRANCISCO#1#2.357#70,0%#81,4%
Justiça Estadual#TJAM#AM#UNIDADES JUDICIÁRIAS DE PRIMEIRO GRAU#V - VARA;#4804#4ª VARA CRIMINAL DA CAPITAL#MANAUS#(092) 3303-5143#69.079-265#AVENIDA HUMBERTO CALDERARO, SN, 5º ANDAR SETOR 1 FORUM MINISTRO HENOCH REISSÃ£O FRANCISCO#1#1.329#62,9%#66,8%
Justiça Estadual#TJAM#AM#UNIDADES JUDICIÁRIAS DE PRIMEIRO GRAU#V - VARA;#4848#1ª VARA DO TRIBUNAL DO JÚRI#MANAUS#(092) 3303-5220#69.079-265#AVENIDA HUMBERTO CALDERARO, SN, TÃ©RREO SETOR 3  FORUM MINISTRO HENOCH REIS SÃ£O FRANCISCO#1#1.415#73,4%#77,9%
Justiça Estadual#TJAM#AM#UNIDADES JUDICIÁRIAS DE PRIMEIRO GRAU#V - VARA;#4847#3ª VARA ESPECIALIZADA EM CRIME DE USO E TRÁFICO DE ENTORPECENTES#MANAUS#(092) 3303-5132#69.079-265#AVENIDA HUMBERTO CALDERARO, SN, 2º ANDAR SETOR 4 FORUM MINISTRO HENOCH REIS SÃ£O FRANCISCO#1#1.111#50,1%#54,4%
Justiça Estadual#TJAM#AM#UNIDADES JUDICIÁRIAS DE PRIMEIRO GRAU#V - VARA;#4849#2ª VARA DO TRIBUNAL DO JÚRI#MANAUS#(092) 3303-5225#69.079-265#AVENIDA HUMBERTO CALDERARO, SN, TÃ©RREO SETOR 3 FORUM MINISTRO HENOCH REIS SÃ£O FRANCISCO#1#1.610#62,7%#69,7%
Justiça Estadual#TJAM#AM#UNIDADES JUDICIÁRIAS DE PRIMEIRO GRAU#V - VARA;#4846#2ª VARA ESPECIALIZADA EM CRIME DE USO E TRÁFICO DE ENTORPECENTES#MANAUS#(092) 3303-5156#69.079-265#AVENIDA HUMBERTO CALDERARO, SN, 2º ANDAR SETOR 4 FORUM MINISTRO HENOCH REIS SÃ£O FRANCISCO#1#1.808#64,4%#64,8%
Justiça Estadual#TJAM#AM#UNIDADES JUDICIÁRIAS DE PRIMEIRO GRAU#V - VARA;#4845#1ª VARA ESPECIALIZADA EM CRIME DE USO E TRÁFICO DE ENTORPECENTES#MANAUS#(092) 3303-5160#69.079-265#AVENIDA HUMBERTO CALDERARO, SN, 2º ANDAR SETOR 4 FORUM MINISTRO HENOCH REIS SÃ£O FRANCISCO#1#472#31,3%#35,7%
Justiça Estadual#TJAM#AM#UNIDADES JUDICIÁRIAS DE PRIMEIRO GRAU#V - VARA;#17059#2º JUIZADO ESPECIALIZADO DA VIOLÊNCIA DOMÉSTICA#MANAUS#(092) 3624-5370#69.074-000#AVENIDA PRESIDENTE KENNEDY, Nº 399, CENTRO ESTADUAL DE REFERÊNCIA E APOIO À MULHER EDUCANDOS#1#5.815#23,1%#56,7%
Justiça Estadual#TJAM#AM#UNIDADES JUDICIÁRIAS DE PRIMEIRO GRAU#V - VARA;#17900#4ª VARA ESPECIALIZADA EM CRIME DE USO E TRÁFICO DE ENTORPECENTES#MANAUS#(092) 3303-5137#69.079-265#AVENIDA HUMBERTO CALDERARO, SN, 2º ANDAR SETOR 3  FORUM MINISTRO HENOCH REIS SÃ£O FRANCISCO#1#1.985#84,2%#84,6%
Justiça Estadual#TJAM#AM#UNIDADES JUDICIÁRIAS DE PRIMEIRO GRAU#V - VARA;#17058#1º JUIZADO ESPECIALIZADO DA VIOLÊNCIA DOMÉSTICA#MANAUS#(092) 2127-7555#69.099-045#AVENIDA AUTAZ MIRIM, SNº, FÓRUM DES AZARIAS MENESCAL DE VASCONCELLOS JORGE TEIXEIRA#1#5.923#16,4%#64,3%
Justiça Estadual#TJAM#AM#UNIDADES JUDICIÁRIAS DE PRIMEIRO GRAU#V - VARA;#14166#3ª VARA DO TRIBUNAL DO JURI#MANAUS#(092) 3303-5152#69.079-265#AVENIDA HUMBERTO CALDERARO, SN, 2º ANDAR SETOR 04 FORUM MINISTRO HENOCH REIS SÃ£O FRANCISCO#1#449#57,4%#63,5%
Justiça Estadual#TJAP#AP#UNIDADES JUDICIÁRIAS DE PRIMEIRO GRAU#JE - JUIZADO ESPECIAL;#13697#JUIZADO DE VIOLÊNCIA DOMÉSTICA - MCP#MACAPA#(096) 3312-3400#68.906-906#AV. FAB, 1737, CENTRO, MACAPÁ#1#1.275#33,1%#34,2%
Justiça Estadual#TJAP#AP#UNIDADES JUDICIÁRIAS DE PRIMEIRO GRAU#JE - JUIZADO ESPECIAL;#13721#JUIZADO ESPECIAL CRIMINAL#MACAPA#(096) 3312-3400#68.906-906#AV. FAB, 1737, CENTRO, MACAPÁ#1#87#30,1%#32,7%
Justiça Estadual#TJBA#BA#-#-#49883#VARA CRIMINAL DE OLINDINA#OLINDINA#(000) 0000-0000#00.000-000#-#1#0#0,0%#-
Justiça Estadual#TJBA#BA#-#-#49852#VARA CRIMINAL DE MONTE SANTO#MONTE SANTO#(000) 0000-0000#00.000-000#-#1#0#0,0%#-
Justiça Estadual#TJBA#BA#ÁREAS DE APOIO DIRETO À ATIVIDADE JUDICANTE#OAADJ - OUTRAS ÁREAS DE APOIO DIRETO À ATIVIDADE JUDICANTE.#72320#NUCLEO DE PRISAO EM FLAGRANTE DE VITÓRIA DA CONQUISTA#VITORIA DA CONQUISTA#(077) 3229-1113#45.000-905#AVENIDA LUIS FERNANDES DE OLIVEIRA, Nº 75, BAIRRO: UNIVERSIDADE#1#0#0,0%#-
Justiça Estadual#TJBA#BA#ÁREAS DE APOIO DIRETO À ATIVIDADE JUDICANTE#OAADJ - OUTRAS ÁREAS DE APOIO DIRETO À ATIVIDADE JUDICANTE.#72315#NUCLEO DE PRISAO EM FLAGRANTE DE BARREIRAS#BARREIRAS#(077) 3614-3641#47.800-163#R. CEL. MAGNO, 533 - VILA BRASIL#1#1#100,0%#100,0%
Justiça Estadual#TJBA#BA#UNIDADES JUDICIÁRIAS DE PRIMEIRO GRAU#JE - JUIZADO ESPECIAL;#6124#1ª VARA DO SISTEMA DOS JUIZADOS ESPECIAIS CRIMINAIS - SALVADOR#SALVADOR#(071) 3320-6747#40.040-900#PRAÇA D. PEDRO II, FÓRUM RUY BARBOSA, TÉRREO, SALA 014, S/N, BAIRRO: CAMPO DA PÓLVORA#1#357#32,8%#32,8%
Justiça Estadual#TJBA#BA#UNIDADES JUDICIÁRIAS DE PRIMEIRO GRAU#JE - JUIZADO ESPECIAL;#7826#2ª VARA DO SISTEMA DOS JUIZADOS ESPECIAIS CRIMINAIS - SALVADOR#SALVADOR#(071) 3320-6747#40.040-900#PRAÇA D. PEDRO II, FÓRUM RUY BARBOSA, TÉRREO, SALA 014, S/N, BAIRRO: CAMPO DA PÓLVORA#1#302#34,6%#34,6%
Justiça Estadual#TJBA#BA#UNIDADES JUDICIÁRIAS DE PRIMEIRO GRAU#JE - JUIZADO ESPECIAL;#8229#5ª VARA DO SISTEMA DOS JUIZADOS ESPECIAIS CRIMINAIS - SALVADOR#SALVADOR#(071) 3312-4204#40.327-490#TRAVESSA SAO MARCELINO, S/N, BAIRRO: LAPINHA#1#45#17,2%#17,2%
Justiça Estadual#TJBA#BA#UNIDADES JUDICIÁRIAS DE PRIMEIRO GRAU#JE - JUIZADO ESPECIAL;#7844#3ª VARA DO SISTEMA DOS JUIZADOS ESPECIAIS - SALVADOR#SALVADOR#(071) 3285-2613#41.635-150#AVENIDA DORIVAL CAYMMI, 14130, BAIRRO: ITAPUÃ#1#286#20,0%#20,0%
Justiça Estadual#TJBA#BA#UNIDADES JUDICIÁRIAS DE PRIMEIRO GRAU#JE - JUIZADO ESPECIAL;#7843#6ª VARA DO SISTEMA DOS JUIZADOS ESPECIAIS CRIMINAIS - SALVADOR#SALVADOR#(071) 3312-4204#40.327-490#TRAVESSA SAO MARCELINO, S/N, BAIRRO: LAPINHA#1#66#26,6%#26,6%
